"Timestamp","How did You hear about Skye8","Why did You Choose Skye8? ","Is this your first time at skye8?","Department (stack) at Skye8.","How would you Rate the quality of Learning opportunities provided during the internship? hint: were the projects challenging yet achievable.","Did the internship provide tasks or projects that align with your academic goals.","Give your reason for the above answer.","What skills or knowledge have you gained from the internship, what did you do with them and are they productive?","Were the resources (e.g. tool, equipment, materials) provided sufficient for completing task effectively?","How approachable and supportive are the supervisors?","Share any Specific Experiences (positive or Negative) you had while interacting with your supervisor","Did You receive timely and constructive feedback on your work?","How often did you interact with your supervisor/mentor?
(Daily, Weekly, Monthly, Rarely)","How would you rate the support provided by your supervisor? (1-5 scale)
(1 = No support at all, 5 = Very helpful and supportive)","Did you receive constructive feedback on your work?
(Yes = You got useful feedback to improve; No = You didn’t get much feedback)","Were your questions and concerns addressed adequately?
(Yes = Your concerns were taken seriously; No = You felt ignored)","How would you describe the work environment?
(e.g., Friendly, competitive, stressful, fun, learning-focused, etc.)","How welcoming and inclusive did you find the team? (1-5 scale)
(1 = Not welcoming, 5 = Very inclusive and supportive)","Did you feel valued as an intern?
(Yes = You felt appreciated; No = You felt like an outsider)","Were you encouraged to share ideas and take initiatives?
(Yes = Your ideas were welcomed; No = You were expected to just follow orders)","What challenges did you face during your internship?
(e.g., Lack of guidance, high workload, unclear expectations, poor communication, etc.)","What could Skye8 do to improve the intern experience?
(Share suggestions like better onboarding, more structured training, more responsibilities, etc.)","On a scale of 1-10, how satisfied are you with your internship?
(1 = Very dissatisfied, 10 = Extremely satisfied)","Would you recommend this internship to others?
(Yes = You’d tell others to apply; No = You wouldn’t recommend it)","Would you consider working at Skye8 in the future?
(Yes = You’d love to return; No = You wouldn’t want to work there again)","Any additional comments or feedback?  
(Open-ended, you can share anything else you feel is important)"
"2025/03/20 9:43:19 am CET","Friends/Family","The company's location, mission, values and work environment align with my personal values and goals","Yes","Cyber security","Very good","Yes","The internship provided projects that were relevant to my field of study, allowing me to apply theoretical concepts to real-world problems.
The internship provided opportunities for growth and development, allowing me to take on new challenges.","I have gained knowledge in:
Network configuration
Traffic analysis
Vulnerability analysis
Exploiting network vulnerabilities
Network threads analysis and Defense
These will help me in penetration testing and NVF","Yes","Good","Regular feedback sessions and open communication helping me work through challenges and achieve my goals","Yes","Daily","5","Option 1","Yes","Learning-focused","5","4","Yes","Unclear expectations","Increase available work pace to be able to accept and guide more interns for them to get thesame experience I had from skey8","8","Yes","Yes","No"
"2025/03/20 9:44:04 am CET","Social Media","Because it is the best fit for my internship","Yes","Project management","Good","Yes","Everything is aligning with my goals","Asana skills
Trello
Monday.com
Jira","Yes","Very good","No negative experience. They are friendly and approachable","Yes","Daily","4","Option 1","Yes","Friendly and learning-focused","4","4","Yes","Slightly unclear expectations","More structured training.
More friendly initiatives that will make interns connected with each other","8","Yes","Yes","It is a very friendly and at the same time strict environment, enabling interns to be relaxed and serious."
"2025/03/20 9:48:15 am CET","Friends/Family","Because a friend told me they were good and Skye8 is closer to where i live","No","Data science","Satisfactory","Yes","Certainly! because most of what done in school was being implemented during my internship on real world projects","Yes, they are  productive. Thank to the internship, i can now build mobile apps ","Yes","Satisfactory","I was discussing with my supervisor, i discovered that his goal is that i we should be able to build mobile apps and deploy them.","Yes","Daily","3","Option 1","Yes","learning-focused","3","3","Yes","high workload","more structured training and making sure that electricity is always available.","5","Yes","Maybe","overall, i feel my time spent at Skye8 was worth it."
"2025/03/20 9:54:41 am CET","Friends/Family","Because of the quality of learning they give interns","No","Data science","Good","Yes","Because i am working on tasks which i set as goals.","I have gained a mastery of Data processing with python and data visualization as well a good understanding of team work","Yes","Satisfactory","Positive experiences","Yes","Daily","3","Option 1","Yes","learning-focused","4","5","Yes","unclear expectations","I will suggest they look into the temperature regulation system due to the fact that there are many interns and laptops which tend to produce a lot of heat making it uncomfortable working","8","Yes","Yes","no comments"
"2025/03/20 9:55:43 am CET","Friends/Family","I have seen their projects and I think they can improve my skills ","No","Data science","Satisfactory","Yes","My first internship gave me good practical knowledge of courses such as software engineering ","Software development, yes it’s productive ","Yes","Very good","Good understanding ","Yes","Weekly","4","Option 1","Yes","Good","4","4","Yes","Unclear expectations ","Less work load ","8","Yes","Yes","Appreciation to Skye8 "
"2025/03/20 9:56:19 am CET","Friends/Family","it was the only place i knew of","No","Data science","Very good","Yes","Because the i learnt the theory in school","how to learn and I'm using it on my learning journey to be more creative","Yes","Very good","no","Yes","Daily","5","Option 1","Yes","satisfactory","5","5","Yes","faced none","more responsibilities ","10","Yes","Yes","none"
"2025/03/20 9:57:30 am CET","Friends/Family","I chose Skye8 mainly because of positive recommendations from my classmates","Yes","Data science","Very good","Yes","I have been able to develop problem solving programs that are essential in my field of study","Coding skills
Professional development skills
Public speaking skills
Team building skills","Yes","Good","During my first professional presentation, I received both positive and negative feedback from my supervisor. This went a long way in improving my further presentations.","Yes","Daily","5","Option 1","Yes","The work environment here at Skye8 is learning focused, team spirited and engaging. On the other hand, it can be stressful.","4","3","Yes","High work load, to some extent there has been poor communication between interns and the Skye8 team.","Include sessions on proper orientation regarding the different specialties here at Skye8 and more effective communication.","8","Yes","Maybe","I'll equally recommend more networking sessions with key stakeholders in the field of IT both nationally and internationally.
Overall I love the workflow at Skye8 and the fact that every intern has to work on a final project at the end of his or her internship that can be internationally recognized."
"2025/03/20 9:58:42 am CET","Friends/Family","Since i did not know the capabilities of Skye8, the only reason why I  choosed Skye8 is because It is the only Tech company that is found around my place of lodge","Yes","Cyber security","Very good","Yes","Firstly, from the start of my internship till date, one has been engaged with several tasks and projects that are really trouble shooters in our daily community. 
secondly, one has not only been guided through this internship but has actually been taught.","In relation to what skills one has gained during this internship period, I can say I have achieved the following
1. How to build Networks using the Cisco Packet Tracer using network nodes like 
Switches, Routers,  Access points, WLAN controllers, Firewalls and so on
2. One is now able to use some social engineering tools like credential harvesting tools to get login details of a target person
3. One has been able to setup a good cybersecurity environment and with good tools for future operations.","Yes","Very good","During the course of my internship, all the supervisors have been nothing but friends to us which made us learn even more effectively. An applaud to all the supervisors in regards to this.","Yes","Daily","4","Option 1","Yes","From what i have observed, Skye8 company ltd is attributed to the following regarding working environment
1. It is a place where gaining the intended knowledge is priotized ( learning-focused)
2. Skye8  has a very friendly ethical environment
3. There is no time to spare in Skye8, because there is too much work on ground to do always.
4. Skye8 is also a place where one can be confident speaking to the crowd because of the daily stand up.","5","5","Yes","One of the major challenges I faced is that I worked so much that I barely slept.
","More exhibition of work and inter-department challeges should be done in order to improve the rate of productivity","8","Yes","Yes","Maybe next time"
"2025/03/20 10:10:45 am CET","Friends/Family","I chosed Skye 8 because it's offers work related to my career goals and training, mentorship and exposure to new skills ","Yes","Cyber security","Good","Yes","I have learned a lot from during this period  of my internship and I have gained practically experiences ","Networking fundamentals 
Network security tools
Cyber security principles ","Yes","Very good","Guidance and support 
Real world application 
Feedback and encouragement ","Yes","Daily","5","Option 1","Yes","Friendly and supportive because my team mates were always willing to help and learn","5","5","Yes","During my internship in Network and Cyber Security, I faced several challenges that helped me grow both personally and professionally. Here are some of the key challenges I encountered:


1. *Complexity of Security Concepts*: I struggled to understand some complex security concepts, such as encryption algorithms and threat analysis.
2. *Limited Familiarity with Security Tools*: I had to learn and familiarize myself with various security tools, such as Nmap, Nessus, and Wireshark.
3. *Troubleshooting Network Issues*: I encountered difficulties while troubleshooting network issues, such as identifying the root cause of a problem and implementing effective solutions.

","Based on my experience as an intern, here are some suggestions for Skye8 to improve the intern experience:


1. *Well-defined Project Goals*: Provide clear project goals, objectives, and expectations to ensure interns understand what is expected of them.
2. *Regular Feedback and Check-ins*: Schedule regular feedback sessions and check-ins to ensure interns are on track and address any concerns or questions.

","10","Yes","Yes","






.Provide Opportunities for Growth and Development
Offer interns opportunities to attend conferences, workshops, and training sessions to enhance their skills and knowledge. This will not only benefit the interns but also contribute to the growth and development of the organization.

Recognize and Reward Intern Contributions
Acknowledge and reward interns' contributions to the organization, no matter how small they may seem. This will help motivate interns, boost their confidence, and encourage them to continue delivering high-quality work.

Stay Connected with Interns After the Internship
Consider staying connected with interns after the internship program has ended. This could be through regular check-ins, alumni events, or even job opportunities within the organization."
"2025/03/20 10:15:29 am CET","Friends/Family","Because I see the value and potential of the company and how I can benefit from it","No","Digital marketing","Satisfactory","Yes","Yes More of which are practical work ","I gain designing skills and still learning more and I’ve been able to design fliers for my friends ","Yes","Satisfactory","My supervisor might be strict at times but I know he wants the best for us","Yes","Weekly","3","Option 1","Yes","Friendly, encouraging and fun","3","3","Yes","Poor communication especially with my mates","For skye8 is already doing enough ","5","Yes","Yes","Non"
"2025/03/20 10:30:39 am CET","Friends/Family","Because of my interest in technology, need for personal growth and the company's  good reputation. ","Yes","Project management","Satisfactory","Yes","Tasks given to manage projects, collaborate with team, how to effectively communicate with team members all aligning with my academic goals.","Team management and communication skills, some skills in IT how to use and communicate on certain platforms, coordinating and time management. ","Yes","Good","The positive  experience I have had is that of being very cautious and conscious of effective time management. My supervisor  often collaborates and check out to find lapses in my task to help me stay on track. He is always available to offer the help needed for a particular task.
 No negative experiences, except for the fact that I am sometimes nervous to ask questions  concerning  certain  tasks assigned. Really struggling with inferiority complex.","Yes","Daily","5","Option 1","Yes","Friendly","5","5","Maybe","Inability to meet up with task given on time, due to inexperience in IT project management","More structured training ","8","Yes","Yes","I had really like to comment on the fact that SKYE8 is providing a lot of support to the interns and the work environment is very friendly. It is very  comfortable and the protocols are very convenient and productive"
"2025/03/20 11:33:53 am CET","Friends/Family","I chose Skye8 because it was closest to where I live ","Yes","Digital marketing","Satisfactory","Yes","I'm satisfied with the task that I   was assign to do  and with things that I have learned from my follow interns most especially and my supervisor but I'm not satisfied,when my supervisor gave me a task and he doesn't do the correction so that I should know if I'm doing the right thing.","All what I have learned and come to know during this internship  I have been putting it into practice.","Yes","Satisfactory","I don't like the fact that when I ask question to my supervisor at times he answered the question but at times he will asked me to ask the other interns.","No","Daily","3","Option 1","No","Friendly ","5","5","Yes","Unclear expectations ","Share suggestions like better onboarding ","5","Yes","Maybe","No "
"2025/03/20 5:31:15 pm CET","Friends/Family","Firstly, I will ws told before choosing skye8 that in Skye8 it's not just all about work since on Saturdays there's more than just work because Skye8 provides activities that helps interns to gain more skills
Secondly, Skye8 organizes online Google meeting sessions on Mondays since both interns and supervisors can't be present at the office on mondays","Yes","Front-end","Satisfactory","Yes","The tasks provided really help to I prove my Front-end development skills ","N/A","Yes","Satisfactory","N/A","Yes","Daily","4","Option 1","Yes","Friendly ","4","4","Yes","High workload, unclear expections","Outline of work to bo done","7","Yes","Maybe","N/A"
"2025/03/21 10:44:16 am CET","Advertisement","I choose skye8 because highly skilled co-founder in skye8 that I need to get my goals","Yes","Cyber security","Good","Yes","In cybersecurity we did penetration and reconnaissance which is the main objective of a white hacker or a network security ","What I gain in my track as an intern is productive for instance in network we built Ethernet cables with rj45 from the scratch and cybersecurity we had to do pen testing and deep understanding ","Yes","Very good","My experience with our supervisor is good  because he is friendly to us that make us explain our challenges and he always dedicate time to explain into details","Yes","Daily","5","Option 1","Yes","Learning focus ","4","4","No","I face challenges for finishing one of my task","Stand by Gen incase of electricity failure ","8","Yes","Yes","I'm delighted for being in skye8 as an intern "
"2025/03/21 10:55:19 am CET","Other","Because of of good experience I got from colleagues who have been here before ","Yes","Back-end","Good","Yes","As a young developer who has kin interest in  Backend Development this internship provided with a number of tasks that help shape my skills ","I gain skills in How to interact with data bases and build interactive websites using PHP ","Yes","Satisfactory","My experience with my supervisor has been quite good  with the numerous tasks given to build my skills and pushing me beyond my limits ","Yes","Weekly","3","Option 1","Yes","Learning focus ","3","1","Yes","High work load","More structured training ","2","Yes","Yes","No"
"2025/03/21 11:01:11 am CET","Friends/Family","Base on what I heard from my HOD .","Yes","Mobile Dev","Good","Yes","Every task was in line with my goals. And according to my research about my stack.","Coding in flutter and multi tasking.","Yes","Satisfactory","I loved the level of commitment and discipline. The social interaction too.","Yes","Weekly","4","Option 1","Yes","Learning - focused","4","4","Yes","High workload: had many task to handle in a short while . Didn’t have time to really learn basis.","Skye8 should consider that some interns are completely new to tech . And structure the tasks accordingly.","7","Yes","Yes","No, skye is good and focus, I will love they keep it that way."
"2025/03/21 11:02:44 am CET","Networking","Because of what skye8 offer, the productive training w","Yes","Mobile Dev","Very good","Yes","Yes it did because app development is pad of software engineering, and I also made a software requirement specifications Wich is pad of topics I only study theoretically","Building an app, I using this knowledge to build my final project and I will use it for personal 💻 projects ","Yes","Very good","Burning night candles, working with them helped me to work hard and do research ","Yes","Weekly","4","Option 1","Yes","Learning focused","5","4","Maybe","High work 😁 load","Better onboarding ","8","Yes","Yes","The outdoor sporting and public speaking program was amazing, at least taking interns out of their working environment is really good for better understanding and productivity, light has been the only issue so far, but it's awesome 😎"
"2025/03/21 11:18:07 am CET","Friends/Family","Firstly, before choosing skye8 I was told that Skye8 is not just all about work since on Saturdays there is more to skye8 than just work because they organize opportunities for interns to gain new skills in different fields
Secondly, Skye8 organizes online Google meeting sessions on Mondays since both interns and supervisors can't be present at the office on Mondays","Yes","Front-end","Satisfactory","Yes","The tasks provided really help to improve on my Front-end development skills ","N/A","Yes","Satisfactory","N/A","Yes","Daily","3","Option 1","Yes","Friendly and stressful ","3","3","Maybe","High workload and unclear expectations ","More elaboration on the work load","7","Maybe","Maybe","N/A"
"2025/03/21 11:20:40 am CET","Friends/Family","This is due to the innovative, open mind set and from their great work and history they have","Yes","Back-end","Good","Yes","The tasks given were able to help me understand  and learn php basics ","I learned some skills in php and my sql and they are very productive ","Yes","Good","My experience were good, He helped e a lot in our tasks and guidance ","Yes","Daily","3","Option 1","Yes","It was friendly, learning-focused, fun and stressful ","4","1","Yes","High workload since I was a beginner in the department","More structured training ","8","Yes","Maybe","Nothing now "
"2025/03/21 11:29:20 am CET","Social Media","Skye8 is relatively close to me home ","Yes","Cyber security","Satisfactory","Yes","Everything we learned was network and cybersecurity related ","Learned how to connect with an audience ","Yes","Good","They put us under alot of pressure ","Yes","Daily","3","Option 1","Yes","Freindly, learning-focused","3","4","Maybe","Unclear expectations ","More structured training ","8","Yes","Yes","Overall my time at Skye8 was so unexpectably good"
"2025/03/21 4:14:50 pm CET","Other","heard of discipline and good results at the end
 ","Yes","Front-end","Good","Yes","N/A","Learnd a lot about java script and cuurently applying them to my final projects","Yes","Satisfactory","every task provided by my supervisor had guides which helped me learn and know what i am to do before doing it... i did not like the fact that he is the silent type. ","No","Rarely","4","Option 1","Yes","quiet for learning, super cool actually ","5","5","Maybe","feeling my report... always forgot to ","it is better as it is...there nothing more to add (for me)","7","Yes","Yes","N/A"
"2025/03/21 11:43:33 pm CET","Friends/Family","They have what I was looking for","Yes","Front-end","Satisfactory","Yes","Creating a simple calculator is part of Algorithm which we did.","I gain an understanding on fundamentals of coding. Am puting it in  to practice by improving on coding.","No","Good","The experience I had with my supervisor was "" every body was considered at the same level"", be you a beginner or advance.","Yes","Daily","3","Option 1","No","Learning-focused","4","3","Yes","Poor communication","Take into consideration that every body is not at the same levels of studies. For example, some are beginner, and some are advance and should not be given same task.","7","Yes","Yes","Keep-up"
